residual sugar,quality
1.9,Poor
2.6,Poor
2.3,Poor
1.9,Poor
1.9,Poor
1.8,Poor
1.6,Poor
1.2,Poor
2,Poor
6.1,Good
1.8,Poor
6.1,Good
1.6,Poor
1.6,Poor
3.8,Poor
3.9,Poor
1.8,Poor
1.7,Poor
4.4,Poor
1.8,Poor
1.8,Poor
2.3,Poor
1.6,Poor
2.3,Poor
2.4,Poor
1.4,Poor
1.8,Poor
1.6,Poor
1.9,Poor
2,Poor
2.4,Poor
2.5,Poor
2.3,Poor
10.7,Good
1.8,Poor
5.5,Poor
2.4,Poor
2.1,Poor
1.5,Poor
5.9,Poor
5.9,Poor
2.8,Poor
2.6,Poor
2.2,Poor
1.8,Poor
2.1,Poor
2.2,Poor
1.6,Poor
1.6,Poor
1.4,Poor
1.7,Poor
2.2,Poor
2.1,Poor
3,Poor
2.8,Poor
3.8,Poor
3.4,Poor
5.1,Poor
2.3,Poor
2.4,Poor
2.2,Poor
1.8,Poor
1.9,Poor
2,Poor
4.65,Poor
4.65,Poor
1.5,Poor
1.6,Poor
2,Poor
1.9,Poor
1.9,Poor
2.1,Poor
1.9,Poor
2.1,Poor
2.5,Poor
2.2,Poor
2.2,Poor
2.4,Poor
2,Poor
1.5,Poor
1.6,Poor
1.9,Poor
2,Poor
1.8,Poor
1.8,Poor
2.2,Poor
1.9,Poor
1.9,Poor
2.1,Poor
1.8,Poor
1.9,Poor
1.9,Poor
2,Poor
1.9,Poor
1.4,Poor
2.3,Poor
3,Poor
2,Poor
2.5,Poor
1.9,Poor
2.1,Poor
1.9,Poor
1.9,Poor
2.1,Poor
2.2,Poor
2.1,Poor
1.7,Poor
1.7,Poor
2.5,Poor
2,Poor
1.8,Poor
2.2,Poor
2.2,Poor
2.3,Poor
1.8,Poor
2.2,Poor
1.9,Poor
2,Poor
2.2,Poor
1.8,Poor
1.7,Poor
2.2,Poor
2.5,Poor
2.6,Poor
1.6,Poor
1.9,Poor
1.7,Poor
1.8,Poor
1.8,Poor
1.8,Poor
2,Poor
2.3,Poor
2.3,Poor
1.5,Poor
2.2,Poor
1.9,Poor
1.8,Poor
2,Poor
2.1,Poor
2,Poor
1.9,Poor
1.8,Poor
1.8,Poor
1.7,Poor
1.8,Poor
1.8,Poor
1.8,Poor
1.6,Poor
2.3,Poor
2.8,Poor
2.1,Poor
3.4,Poor
1.8,Poor
1.8,Poor
5.5,Poor
5.5,Poor
5.5,Poor
5.5,Poor
2.2,Poor
1.9,Poor
2,Poor
1.3,Poor
1.7,Poor
7.3,Good
7.2,Good
1.7,Poor
2.1,Poor
1.6,Poor
2.1,Poor
1.8,Poor
1.8,Poor
2,Poor
2,Poor
1.9,Poor
2,Poor
1.5,Poor
2,Poor
2.3,Poor
2.5,Poor
2.4,Poor
2.4,Poor
2,Poor
2.5,Poor
1.8,Poor
1.9,Poor
2,Poor
2,Poor
2.6,Poor
2,Poor
1.9,Poor
2.9,Poor
1.9,Poor
3.8,Poor
2.2,Poor
2.2,Poor
2,Poor
2.4,Poor
2,Poor
1.2,Poor
2.1,Poor
1.4,Poor
2.1,Poor
1.5,Poor
1.6,Poor
1.6,Poor
2.6,Poor
2.6,Poor
1.8,Poor
2.7,Poor
2.1,Poor
2,Poor
2.8,Poor
2.1,Poor
2.2,Poor
2.4,Poor
5.6,Poor
2,Poor
2.2,Poor
1.9,Poor
2.4,Poor
2,Poor
2,Poor
1.5,Poor
2,Poor
2,Poor
2.6,Poor
2,Poor
2.6,Poor
2.6,Poor
2.6,Poor
1.6,Poor
1.8,Poor
2.8,Poor
2.6,Poor
2.3,Poor
1.9,Poor
1.9,Poor
1.9,Poor
1.9,Poor
2.3,Poor
1.7,Poor
2.1,Poor
1.8,Poor
2.2,Poor
2.2,Poor
2,Poor
1.9,Poor
