residual sugar,quality,quality
1.9,5,Poor
2.6,5,Poor
2.3,5,Poor
1.9,6,Fair
1.9,5,Poor
1.8,5,Poor
1.6,5,Poor
1.2,7,Good
2,7,Good
6.1,5,Poor
1.8,5,Poor
6.1,5,Poor
1.6,5,Poor
1.6,5,Poor
3.8,5,Poor
3.9,5,Poor
1.8,7,Good
1.7,5,Poor
4.4,4,Poor
1.8,6,Fair
1.8,6,Fair
2.3,5,Poor
1.6,5,Poor
2.3,5,Poor
2.4,6,Fair
1.4,5,Poor
1.8,5,Poor
1.6,5,Poor
1.9,5,Poor
2,6,Fair
2.4,5,Poor
2.5,6,Fair
2.3,5,Poor
10.7,6,Fair
1.8,5,Poor
5.5,6,Fair
2.4,6,Fair
2.1,7,Good
1.5,4,Poor
5.9,5,Poor
5.9,5,Poor
2.8,4,Poor
2.6,6,Fair
2.2,5,Poor
1.8,5,Poor
2.1,4,Poor
2.2,5,Poor
1.6,5,Poor
1.6,5,Poor
1.4,5,Poor
1.7,5,Poor
2.2,6,Fair
2.1,6,Fair
3,5,Poor
2.8,6,Fair
3.8,5,Poor
3.4,5,Poor
5.1,5,Poor
2.3,5,Poor
2.4,6,Fair
2.2,5,Poor
1.8,5,Poor
1.9,7,Good
2,5,Poor
4.65,5,Poor
4.65,5,Poor
1.5,5,Poor
1.6,5,Poor
2,5,Poor
1.9,6,Fair
1.9,6,Fair
2.1,5,Poor
1.9,5,Poor
2.1,4,Poor
2.5,5,Poor
2.2,5,Poor
2.2,5,Poor
2.4,6,Fair
2,5,Poor
1.5,4,Poor
1.6,5,Poor
1.9,5,Poor
2,5,Poor
1.8,5,Poor
1.8,6,Fair
2.2,5,Poor
1.9,6,Fair
1.9,5,Poor
2.1,5,Poor
1.8,5,Poor
1.9,5,Poor
1.9,6,Fair
2,5,Poor
1.9,5,Poor
1.4,4,Poor
2.3,6,Fair
3,5,Poor
2,5,Poor
2.5,5,Poor
1.9,6,Fair
2.1,6,Fair
1.9,6,Fair
1.9,6,Fair
2.1,5,Poor
2.2,5,Poor
2.1,5,Poor
1.7,5,Poor
1.7,5,Poor
2.5,6,Fair
2,5,Poor
1.8,5,Poor
2.2,5,Poor
2.2,5,Poor
2.3,6,Fair
1.8,5,Poor
2.2,6,Fair
1.9,6,Fair
2,6,Fair
2.2,6,Fair
1.8,6,Fair
1.7,5,Poor
2.2,6,Fair
2.5,5,Poor
2.6,5,Poor
