,0
0,1
1,3
2,3
3,3
4,5
5,3
6,6
7,3
8,7
9,0
10,3
11,2
12,3
13,3
14,3
15,0
16,1
17,1
18,3
19,7
20,1
21,0
22,5
23,3
24,3
25,5
26,2
27,2
28,7
29,3
30,3
31,7
32,3
33,3
34,1
35,0
36,1
37,1
38,3
39,3
40,3
41,0
42,1
43,1
44,3
45,0
46,3
47,3
48,3
49,3
50,1
51,3
52,1
53,2
54,3
55,1
56,1
57,3
58,5
59,7
60,3
61,3
62,7
63,3
64,1
65,1
66,6
67,3
68,3
69,0
70,4
71,2
72,7
73,3
74,0
75,5
76,1
77,7
78,7
79,3
80,6
81,6
82,1
83,5
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,6
94,4
95,3
96,3
97,3
98,3
99,1
100,6
101,3
102,2
103,3
104,3
105,3
106,7
107,4
108,1
109,1
110,4
111,0
112,3
113,3
114,2
115,2
116,1
117,2
118,3
119,4
120,2
121,7
122,0
123,3
124,5
125,1
126,7
127,0
128,3
129,7
130,3
131,3
132,3
133,2
134,2
135,3
136,1
137,2
138,3
139,1
140,5
141,1
142,7
143,4
144,3
145,3
146,6
147,6
148,3
149,7
150,7
151,4
152,2
153,3
154,3
155,4
156,1
157,1
158,1
159,3
160,2
161,4
162,7
163,7
164,3
165,1
166,3
167,3
168,3
169,3
170,0
171,3
172,7
173,4
174,7
175,3
176,3
177,1
178,1
179,7
180,4
181,5
182,3
183,7
184,7
185,4
186,1
187,3
188,1
189,2
190,3
191,1
192,4
193,3
194,2
195,3
196,1
197,4
198,2
199,3
200,4
201,4
202,5
203,7
204,0
205,3
206,3
207,1
208,5
209,0
210,6
211,1
212,3
213,4
214,6
215,3
216,2
217,2
218,0
219,3
220,5
221,3
222,1
223,3
224,2
225,3
226,3
227,3
228,3
229,3
230,3
231,7
232,0
233,2
234,1
235,1
236,3
237,3
238,5
239,5
240,3
241,3
242,2
243,7
244,3
245,3
246,1
247,3
248,3
249,1
250,3
251,4
252,1
253,6
254,1
255,4
256,5
257,4
258,4
259,7
260,3
261,1
262,6
263,3
264,3
265,7
266,3
267,3
268,0
269,7
270,3
271,1
272,2
273,3
274,2
275,7
276,6
277,3
278,7
279,3
280,4
281,3
282,1
283,1
284,2
285,1
286,3
287,1
288,3
289,3
290,1
291,5
292,3
293,3
294,0
295,1
296,2
297,1
298,3
299,1
300,3
301,3
302,3
303,4
304,3
305,2
306,1
307,4
308,1
309,3
310,7
311,3
312,3
313,7
314,3
315,1
316,6
317,2
318,6
319,2
320,2
321,5
322,7
323,7
324,3
325,3
326,1
327,2
328,2
329,7
330,3
331,1
332,3
333,3
334,2
335,2
336,3
337,3
338,3
339,6
340,6
341,2
342,1
343,2
344,3
345,5
346,3
347,3
348,7
349,1
350,1
351,1
352,7
353,5
354,1
355,2
356,2
357,7
358,3
359,4
360,1
361,3
362,3
363,3
364,3
365,3
366,3
367,7
368,1
369,1
370,7
371,7
372,3
373,6
374,1
375,2
376,2
377,3
378,0
379,3
380,7
381,3
382,6
383,3
384,3
385,6
386,3
387,2
388,3
389,5
390,3
391,3
392,5
393,4
394,2
395,3
396,3
397,2
398,3
399,2
400,4
401,1
402,1
403,3
404,0
405,4
406,1
407,6
408,7
409,1
410,3
411,7
412,3
413,5
414,3
415,2
416,2
417,1
418,2
419,1
420,5
421,4
422,1
423,4
424,3
425,3
426,1
427,6
428,4
429,1
430,3
431,1
432,2
433,7
434,2
435,2
436,3
437,1
438,3
439,3
440,3
441,7
442,3
443,3
444,4
445,3
446,7
447,3
448,3
449,3
450,3
451,3
452,3
453,5
454,3
455,3
456,2
457,3
458,3
459,3
460,7
461,3
462,0
463,0
464,1
465,3
466,7
467,1
468,1
469,5
470,3
471,3
472,6
473,3
474,7
475,3
476,0
477,1
478,3
479,6
480,3
481,4
482,5
483,4
484,2
485,6
486,3
487,3
488,2
489,3
490,3
491,5
492,2
493,3
494,3
495,0
496,1
497,2
498,7
499,3
500,3
501,3
502,2
503,7
504,5
505,7
506,5
507,5
508,1
509,3
510,3
511,3
512,7
513,0
514,3
515,3
516,1
517,7
518,3
519,4
520,3
521,7
522,7
523,3
524,7
525,7
526,3
527,7
528,3
529,1
530,3
531,2
532,0
533,0
534,1
535,3
536,3
537,7
538,1
539,3
540,0
541,3
542,3
543,3
544,3
545,3
546,3
547,1
548,0
549,2
550,0
551,1
552,4
553,0
554,5
555,1
556,1
557,3
558,3
559,0
560,4
561,3
562,0
563,4
564,3
565,6
566,3
567,3
568,3
569,3
570,3
571,7
572,3
573,0
574,1
575,3
576,1
577,1
578,2
579,3
580,3
581,3
582,1
583,1
584,3
585,7
586,1
587,3
588,7
589,3
590,3
591,3
592,3
593,5
594,1
595,1
596,5
597,1
598,7
599,4
600,3
601,6
602,3
603,1
604,1
605,1
606,7
607,3
608,2
609,1
610,3
611,3
612,7
613,3
614,3
615,7
616,3
617,7
618,1
619,5
620,2
621,1
622,7
623,4
624,1
625,4
626,5
627,1
628,7
629,3
630,0
631,1
632,3
633,0
634,4
635,3
636,3
637,4
638,3
639,7
640,1
641,1
642,4
643,1
644,3
645,3
646,3
647,3
648,3
649,4
650,5
651,2
652,6
653,7
654,3
655,1
656,3
657,3
658,3
659,0
660,1
661,4
662,1
663,1
664,1
665,7
666,2
667,1
668,4
669,1
670,7
671,0
672,3
673,1
674,3
675,2
676,4
677,5
678,3
679,3
680,7
681,1
682,3
683,7
684,3
685,1
686,7
687,7
688,5
689,3
690,3
691,7
692,0
693,3
694,3
695,4
696,2
697,2
698,3
699,4
700,5
701,1
702,4
703,2
704,4
705,3
706,1
707,3
708,4
709,3
710,3
711,7
712,3
713,3
714,4
715,1
716,3
717,1
718,6
719,1
720,1
721,1
722,3
723,3
724,4
725,3
726,7
727,1
728,4
729,2
730,3
731,3
732,4
733,3
734,3
735,2
736,2
737,0
738,2
739,7
740,3
741,6
742,4
743,7
744,3
745,3
746,1
747,3
748,1
749,3
750,3
751,3
752,1
753,7
754,1
755,3
756,2
757,1
758,0
759,1
760,1
761,3
762,2
763,7
764,7
765,3
766,4
767,2
768,3
769,7
770,2
771,2
772,1
773,0
774,3
775,1
776,3
777,7
778,1
779,3
780,3
781,1
782,3
783,5
784,4
785,3
786,0
787,7
788,3
789,7
790,3
791,1
792,3
793,1
794,1
795,1
796,4
797,3
798,5
799,1
800,0
801,3
802,1
803,0
804,3
805,3
806,5
807,7
808,3
809,3
810,0
811,4
812,3
813,3
814,5
815,2
816,3
817,6
818,2
819,3
820,3
821,6
822,3
823,1
824,5
825,1
826,3
827,2
828,3
829,1
830,0
831,6
832,3
833,2
834,3
835,3
836,0
837,1
838,5
839,7
840,1
841,4
842,3
843,2
844,7
845,0
846,3
847,6
848,3
849,3
850,4
851,3
852,6
853,3
854,3
855,1
856,3
857,2
858,3
859,3
860,7
861,3
862,2
863,2
864,2
865,0
866,7
867,4
868,3
869,3
870,4
871,3
872,1
873,2
874,3
875,3
876,7
877,1
878,3
879,4
880,7
881,3
882,3
883,4
884,7
885,4
886,0
887,2
888,4
889,3
890,0
891,3
892,1
893,2
894,3
895,3
896,1
897,4
898,2
899,3
900,3
901,7
902,3
903,3
904,6
905,3
906,7
907,1
908,3
909,5
910,1
911,6
912,2
913,7
914,0
915,3
916,2
917,3
918,3
919,6
920,4
921,3
922,3
923,1
924,1
925,4
926,1
927,3
928,3
929,3
930,3
931,0
932,2
933,3
934,5
935,7
936,3
937,6
938,2
939,2
940,4
941,1
942,3
943,1
944,5
945,5
946,1
947,4
948,0
949,6
950,1
951,3
952,1
953,3
954,4
955,1
956,0
957,6
958,7
959,3
960,3
961,3
962,3
963,1
964,1
965,5
966,3
967,1
968,3
969,7
970,3
971,1
972,3
973,7
974,3
975,3
976,3
977,3
978,4
979,6
980,3
981,7
982,1
983,3
984,3
985,1
986,3
987,3
988,5
989,3
990,0
991,3
992,3
993,3
994,1
995,3
996,5
997,3
998,1
999,3
1000,2
1001,1
1002,3
1003,3
1004,3
1005,3
1006,3
1007,0
1008,2
1009,6
1010,4
1011,3
1012,3
1013,1
1014,1
1015,0
1016,3
1017,4
1018,3
1019,0
1020,1
1021,4
1022,7
1023,3
1024,4
1025,3
1026,6
1027,1
1028,5
1029,2
1030,1
1031,3
1032,0
1033,4
1034,3
1035,3
1036,3
1037,4
1038,3
1039,2
1040,3
1041,2
1042,0
1043,3
1044,0
1045,3
1046,3
1047,7
1048,2
1049,3
1050,3
1051,3
1052,1
1053,3
1054,3
1055,1
1056,3
1057,3
1058,3
1059,3
1060,3
1061,7
1062,0
1063,1
1064,3
1065,4
1066,7
1067,1
1068,4
1069,7
1070,3
1071,1
1072,1
1073,3
1074,6
1075,5
1076,5
1077,3
1078,4
1079,3
1080,1
1081,0
1082,4
1083,3
1084,3
1085,5
1086,4
1087,5
1088,3
1089,7
1090,1
1091,3
1092,1
1093,0
1094,3
1095,7
1096,1
1097,0
1098,3
1099,4
1100,3
1101,6
1102,7
1103,3
1104,7
1105,3
1106,6
1107,5
1108,7
1109,3
1110,1
1111,3
1112,3
1113,6
1114,3
1115,3
1116,1
1117,7
1118,3
1119,5
1120,1
1121,3
1122,6
1123,0
1124,1
1125,2
1126,1
1127,7
1128,5
1129,0
1130,4
1131,4
1132,3
1133,1
1134,3
1135,7
1136,3
1137,7
1138,3
1139,2
1140,6
1141,1
1142,1
1143,3
1144,3
1145,7
1146,7
1147,3
1148,3
1149,3
1150,7
1151,1
1152,2
1153,3
1154,7
1155,3
1156,3
1157,1
1158,6
1159,3
1160,1
1161,3
1162,4
1163,1
1164,3
1165,1
1166,1
1167,7
1168,2
1169,1
1170,1
1171,3
1172,1
1173,7
1174,7
1175,6
1176,2
1177,3
1178,1
1179,3
1180,0
1181,1
1182,3
1183,7
1184,3
1185,6
1186,7
1187,3
1188,5
1189,3
1190,7
1191,2
1192,3
1193,3
1194,4
1195,3
1196,3
1197,7
1198,7
1199,3
1200,3
1201,4
1202,3
1203,3
1204,3
1205,5
1206,6
1207,3
1208,4
1209,3
1210,6
1211,3
1212,7
1213,3
1214,1
1215,4
1216,3
1217,3
1218,3
1219,3
1220,4
1221,1
1222,2
1223,3
1224,3
1225,2
1226,3
1227,7
1228,4
1229,3
1230,3
1231,3
1232,3
1233,3
1234,1
1235,3
1236,2
1237,3
1238,4
1239,4
1240,3
1241,3
1242,1
1243,1
1244,4
1245,0
1246,4
1247,1
1248,2
1249,1
1250,2
1251,2
1252,3
1253,6
1254,5
1255,3
1256,6
1257,3
