id,user_id,joke_id,Rating
31030_110,31030,110,2.75
16144_109,16144,109,5.093999999999999
23098_6,23098,6,-6.438
14273_86,14273,86,4.4060000000000015
18419_134,18419,134,9.375
5782_14,5782,14,-1.781
34059_62,34059,62,6.25
1159_9,1159,9,-2.906
17736_32,17736,32,-5.75
22626_22,22626,22,1.656
6610_96,6610,96,1.656
18725_13,18725,13,0.688
23340_130,23340,130,1.3119999999999998
6966_76,6966,76,6.0310000000000015
2538_83,2538,83,9.781
34741_46,34741,46,8.75
40642_44,40642,44,0.156
29973_53,29973,53,3.562
18968_95,18968,95,2.938
25664_116,25664,116,3.75
8445_46,8445,46,-1.906
36135_37,36135,37,3.469
18596_30,18596,30,7.0
28794_108,28794,108,4.6560000000000015
9137_110,9137,110,1.719
29321_19,29321,19,6.218999999999999
18_6,18,6,-8.25
22583_24,22583,24,5.188
13433_139,13433,139,-2.281
9797_58,9797,58,1.406
12829_122,12829,122,2.906
16386_115,16386,115,3.625
5858_120,5858,120,6.718999999999999
7437_29,7437,29,5.6560000000000015
6011_96,6011,96,8.562000000000001
28805_109,28805,109,2.156
8380_129,8380,129,-5.343999999999999
29209_95,29209,95,3.25
1518_3,1518,3,1.0
30806_124,30806,124,7.375
31811_58,31811,58,8.031
32755_124,32755,124,6.125
40785_56,40785,56,7.4689999999999985
37751_7,37751,7,2.125
6562_95,6562,95,4.062
9730_65,9730,65,-8.0
35871_53,35871,53,-2.75
85_17,85,17,9.406
27531_40,27531,40,8.875
6739_119,6739,119,4.5
8129_133,8129,133,-3.188
4893_133,4893,133,-6.875
9247_66,9247,66,6.718999999999999
20779_87,20779,87,2.719
32451_6,32451,6,0.562
10260_116,10260,116,2.969
21837_7,21837,7,8.375
23327_4,23327,4,-4.9060000000000015
33247_25,33247,25,8.594
39929_36,39929,36,-7.4689999999999985
14872_87,14872,87,0.25
29195_82,29195,82,6.4060000000000015
3695_103,3695,103,5.125
20329_123,20329,123,3.156
4376_7,4376,7,0.312
27024_113,27024,113,0.9690000000000001
3007_102,3007,102,-3.969
28603_83,28603,83,5.438
35734_7,35734,7,-0.031
33745_9,33745,9,-1.969
13840_60,13840,60,4.688
30183_102,30183,102,2.781
32932_40,32932,40,0.875
10770_127,10770,127,-9.625
15304_7,15304,7,-2.188
34505_85,34505,85,-3.062
19751_25,19751,25,8.781
18456_118,18456,118,6.938
10139_111,10139,111,-7.4060000000000015
26855_28,26855,28,9.281
4002_74,4002,74,-0.5
30693_36,30693,36,1.25
32816_8,32816,8,5.0310000000000015
15782_75,15782,75,1.3119999999999998
5663_135,5663,135,3.375
17155_122,17155,122,5.438
6876_7,6876,7,4.375
35847_97,35847,97,6.875
15984_24,15984,24,6.688
10407_37,10407,37,8.531
23471_79,23471,79,2.781
3369_119,3369,119,5.593999999999999
32568_2,32568,2,2.125
14467_101,14467,101,7.75
24187_53,24187,53,2.781
7240_29,7240,29,8.281
1523_126,1523,126,-0.531
12767_124,12767,124,9.5
15744_8,15744,8,6.812
2763_119,2763,119,-4.125
5579_52,5579,52,1.875
12449_52,12449,52,3.688
32594_40,32594,40,5.438
22510_109,22510,109,4.438
4557_2,4557,2,-5.5
27521_62,27521,62,-1.406
26216_129,26216,129,4.0310000000000015
35637_85,35637,85,-0.344
10091_3,10091,3,-3.594
25611_119,25611,119,9.344
21357_4,21357,4,-2.719
15624_78,15624,78,4.188
31409_2,31409,2,4.688
20999_121,20999,121,6.093999999999999
36155_9,36155,9,8.687999999999999
36663_96,36663,96,-5.468999999999999
1304_54,1304,54,-3.688
8492_122,8492,122,-7.188
26591_66,26591,66,4.218999999999999
39452_27,39452,27,4.968999999999999
12032_103,12032,103,-8.906
34039_52,34039,52,9.937999999999999
22294_5,22294,5,0.25
29037_9,29037,9,5.562
39708_62,39708,62,2.281
23164_123,23164,123,-6.843999999999999
18863_44,18863,44,-4.2810000000000015
26864_7,26864,7,6.875
32279_40,32279,40,9.531
35077_96,35077,96,5.218999999999999
39798_3,39798,3,-2.688
32504_104,32504,104,9.156
3109_94,3109,94,4.0310000000000015
35471_3,35471,3,3.938
32247_132,32247,132,5.25
40597_40,40597,40,5.218999999999999
33515_32,33515,32,8.5
3581_39,3581,39,-9.812000000000001
5724_11,5724,11,6.0310000000000015
27649_110,27649,110,5.0310000000000015
34846_22,34846,22,3.031
33835_108,33835,108,8.156
7730_22,7730,22,7.562
33216_125,33216,125,3.875
23153_81,23153,81,0.094
22475_37,22475,37,3.469
33954_7,33954,7,1.4380000000000002
34847_104,34847,104,0.8440000000000001
3007_137,3007,137,3.312
40370_61,40370,61,-3.219
16020_6,16020,6,2.375
21785_8,21785,8,-7.188
37204_87,37204,87,3.281
18010_25,18010,25,7.562
4775_50,4775,50,9.75
21154_124,21154,124,5.062
20635_79,20635,79,5.625
40838_102,40838,102,10.0
2025_2,2025,2,-9.844
5395_8,5395,8,2.062
5450_79,5450,79,4.468999999999999
6600_8,6600,8,-6.938
19177_120,19177,120,3.75
29245_59,29245,59,7.1560000000000015
34277_4,34277,4,-3.781
24740_76,24740,76,0.8440000000000001
1046_34,1046,34,7.875
33114_78,33114,78,9.75
13495_9,13495,9,0.875
25791_84,25791,84,-4.938
35355_110,35355,110,3.031
33076_43,33076,43,7.1560000000000015
19475_138,19475,138,6.4060000000000015
20656_8,20656,8,-2.219
22484_56,22484,56,5.718999999999999
31515_7,31515,7,0.375
29578_118,29578,118,2.562
33078_100,33078,100,2.312
37320_7,37320,7,6.718999999999999
15661_104,15661,104,-1.0
32488_53,32488,53,-8.187999999999999
7955_85,7955,85,2.625
1853_97,1853,97,1.906
29812_29,29812,29,-0.156
35395_28,35395,28,7.4689999999999985
1676_22,1676,22,-0.938
17125_22,17125,22,-0.5
15626_40,15626,40,9.062000000000001
38192_83,38192,83,7.5939999999999985
39165_4,39165,4,-1.344
24061_31,24061,31,0.8440000000000001
34310_59,34310,59,-3.562
22169_8,22169,8,-0.594
37260_99,37260,99,9.937999999999999
35485_44,35485,44,4.312
37089_43,37089,43,6.593999999999999
18398_49,18398,49,4.312
3262_132,3262,132,0.9059999999999999
5481_5,5481,5,-4.2810000000000015
19988_68,19988,68,-2.25
2056_9,2056,9,5.188
31772_9,31772,9,9.687999999999999
1645_18,1645,18,-9.719
23322_79,23322,79,3.75
38808_137,38808,137,-0.062
22491_5,22491,5,-3.094
38151_112,38151,112,-3.031
27016_55,27016,55,-5.593999999999999
33949_119,33949,119,2.781
40709_13,40709,13,8.219
20518_6,20518,6,-4.218999999999999
21618_138,21618,138,6.062
20933_82,20933,82,-0.688
11705_60,11705,60,-4.625
549_116,549,116,2.781
31822_4,31822,4,2.031
23085_79,23085,79,4.218999999999999
13657_71,13657,71,-9.156
37315_9,37315,9,4.438
21649_9,21649,9,-8.937999999999997
10547_134,10547,134,7.8439999999999985
34204_32,34204,32,1.656
6214_2,6214,2,0.688
4072_79,4072,79,7.125
31649_59,31649,59,2.875
20809_107,20809,107,4.968999999999999
7019_26,7019,26,6.093999999999999
19876_39,19876,39,-0.75
36534_32,36534,32,-7.093999999999999
18977_34,18977,34,-7.5
21524_2,21524,2,-5.562
40226_59,40226,59,2.156
31534_78,31534,78,0.938
37790_5,37790,5,-7.25
9583_125,9583,125,-2.5
2625_139,2625,139,7.125
9456_28,9456,28,-5.5
30493_7,30493,7,-0.5
34984_71,34984,71,-5.0310000000000015
8793_135,8793,135,2.938
1788_8,1788,8,8.969
21344_108,21344,108,-1.125
32251_2,32251,2,6.688
32259_111,32259,111,9.437999999999999
18047_87,18047,87,1.594
11438_6,11438,6,-4.625
25899_34,25899,34,5.25
